Firstseen (UTC)	Version	Feodo C&C	Status	SBL	ASN	Country	Lastseen (UTC)\
2016-03-19 23:44:36	D	98.23.159.86	offline	Not listed	AS7029 WINDSTREAM	- US	never\
2016-03-19 23:44:36	D	80.229.204.1	offline	Not listed	AS6871 PLUSNET	- GB	never\
2016-03-19 23:44:36	D	64.234.250.153	offline	SBL290707	AS39939 RISE-CO-AS39939	- US	2016-03-22 23:50:44\
2016-03-18 14:04:45	D	64.147.192.68	offline	SBL290377	AS19653 CTSTELECOM	- US	2016-04-13 23:54:25\
2016-03-18 14:04:45	D	93.65.43.220	offline	SBL290705	AS30722 VODAFONE-IT-ASN,	- IT	2016-04-01 03:49:38\
2016-03-18 14:04:45	D	82.100.8.148	offline	Not listed	AS29208 DIALTELECOM-AS	- CZ	never\
2016-03-18 14:04:45	D	88.159.209.99	offline	SBL290708	AS39309 EDUTEL-AS,	- NL	2016-04-01 03:49:38\
2016-03-18 14:04:45	D	81.149.1.176	offline	SBL290378	AS2856 BT-UK-AS	- GB	never\
2016-03-18 03:29:31	D	5.2.245.43	offline	Not listed	AS8708 RCS-RDS	- RO	never\
2016-03-18 03:29:31	D	69.157.17.124	offline	Not listed	AS577 BACOM	- CA	never\
2016-03-18 03:29:31	D	38.64.199.33	offline	SBL290376	AS26110 MHT-ASN	- US	2016-06-08 05:34:45\
2016-03-18 03:29:31	D	86.134.190.171	offline	Not listed	AS2856 BT-UK-AS	- GB	2016-03-22 23:50:44\
2016-03-17 20:54:53	D	67.86.188.102	offline	Not listed	AS6128 CABLE-NET-1	- US	never\
2016-03-17 20:54:53	D	190.99.140.20	offline	Not listed	AS10299 EMPRESAS	- CO	never\
2016-03-17 20:54:53	D	109.190.2.168	offline	SBL293124	AS35540 OVH-TELECOM,	- FR	never\
2016-03-17 20:54:53	D	47.88.191.14	offline	SBL290375	AS45102 CNNIC-ALIBABA-CN-NET-AP	- CA	2016-03-29 07:48:34\
2016-03-17 20:54:53	D	24.204.49.244	offline	SBL290374	AS12019 NETCOMM	- US	2016-03-29 07:48:34\
2016-03-17 20:54:53	D	80.0.175.169	offline	SBL291031	AS5089 NTL,	- GB	never\
2016-03-17 20:54:53	D	82.17.205.232	offline	Not listed	AS5089 NTL,	- GB	never\
2016-03-17 18:42:09	D	195.169.147.26	offline	Not listed	AS1103 SURFNET-NL	- NL	2016-06-06 08:57:45\
2016-03-17 18:37:01	D	5.152.201.26	offline	SBL290372	AS20860 IOMART-AS,	- GB	never\
2016-03-16 12:09:29	D	188.93.239.28	offline	SBL290371	AS49349 DOTSI,	- PT	2016-06-08 05:34:45\
