latitude;longitude
3.852.700.121;-1.214.781.774
3.858.067.298;-1.214.992.289
3.847.603.764;-121.432.933
3.846.816.183;-1.214.401.696
385.704.109;-1.214.841.033
3.853.092.764;-121.473.272
3.863.589.932;-121.426.956
3.862.966.165;-1.214.521.652
3.851.314.436;-1.215.010.131
3.867.124.986;-1.215.152.685
3.851.385.568;-1.215.292.089
3.855.630.084;-1.214.662.305
38.620.284;-121.465.034
3.851.363.418;-1.215.233.983
3.849.463.972;-1.214.985.289
3.854.904.321;-1.214.758.203
3.858.314.743;-1.214.974.099
3.855.385.441;-1.214.704.591
3.860.790.178;-12.145.544
3.857.396.483;-1.214.769.139
3.846.870.571;-1.214.604.164
3.852.904.451;-1.214.727.965
3.863.228.581;-1.214.303.283
3.852.731.583;-1.214.137.192
3.867.689.767;-1.215.118.637
384.769.852;-1.214.374.736
3.851.503.396;-121.418.769
3.863.862.878;-1.213.815.598
3.847.914.754;-1.214.861.143
3.861.236.933;-1.214.973.299
3.852.488.785;-1.214.717.471
3.854.231.415;-1.214.346.721
3.854.469.916;-121.452.695
3.854.452.845;-1.214.525.985
3.863.482.465;-1.214.700.116
3.855.555.724;-1.214.723.384
3.858.614.084;-1.214.924.524
3.849.603.233;-1.214.619.674
3.853.293.942;-1.214.852.516
3.848.940.865;-121.482.931
3.849.850.245;-1.214.827.604
3.863.679.611;-1.214.569.383
3.858.010.158;-1.214.960.076
3.847.435.531;-121.448.452
3.860.888.339;-1.214.367.656
3.852.367.283;-121.471.459
3.857.682.697;-1.214.795.444
3.856.776.187;-121.470.898
3.850.492.491;-1.214.147.208
3.855.385.441;-1.214.704.591
3.846.223.959;-1.214.466.002
3.855.559.631;-121.484.665
3.853.710.124;-1.214.752.437
386.412.195;-1.215.078.891
3.857.188.611;-1.214.648.897
3.858.062.786;-1.215.014.996
3.858.165.678;-1.215.032.275
3.852.488.785;-1.214.717.471
3.856.318.807;-1.214.753.282
3.863.862.878;-1.213.815.598
3.857.991.197;-1.214.966.071
3.863.712.953;-1.214.376.102
3.860.683.427;-1.214.585.103
3.857.188.611;-1.214.648.897
3.861.157.282;-1.214.916.239
3.858.426.601;-121.504.007
3.862.806.276;-1.214.911.353
3.851.602.543;-1.214.237.449
3.857.188.611;-1.214.648.897
3.852.488.785;-1.214.717.471
3.854.359.005;-1.214.615.285
3.853.627.722;-1.214.745.855
3.848.632.776;-1.214.714.034
3.852.488.785;-1.214.717.471
3.854.370.562;-121.462.171
3.854.359.005;-1.214.615.285
